post_code,avg_sold_price_12months,detached_12months,semi_detached_12months,terraced_12months,flat_12months
L37,340528,425311,281238,294312,164194
CA7,189165,250870,186519,120624,54000
BL2,174204,293117,176849,132597,104575
L8,123718,423375,135332,110441,108818
BL8,246353,379004,225127,157498,127437
LA8,366705,464101,326871,254220,316857
CA1,136588,217551,130255,120738,89997
WA13,436109,610586,373926,309297,157700
M2,390000,0,0,0,390000
L40,265449,388274,231729,171529,137416
CH65,162438,259048,164304,111327,86859
PR1,156604,299613,173916,104315,74804
PR8,253790,378815,211260,188739,149976
M25,278461,460846,277077,231751,149180
FY7,133047,202824,155236,100752,69272
L7,136893,186250,164916,134574,115933
LA14,138847,325862,184872,107294,51214
M7,271208,509047,269232,245369,117087
BB1,152041,270078,162831,101884,91583
WA4,334261,524883,296558,226601,143500
FY6,232324,332794,188108,160839,117831
L5,101419,0,129423,96090,69207
PR6,221070,311319,208686,156358,157100
WN5,177021,288147,163496,118695,112000
